name,color,age,sex,country,grumpy,fearful_of_people,playful,friendly_to_people,clumsy,greedy,owner_phone,missing_date
Latte,grey and brown,3,Male,Australia,2,2,5,7,1,2,651-6043112,02/24/2021
Othello,butterscotch,15,Female,Thailand,2,1,7,6,4,2,651-6202670,12/06/2020
Hershey,tabby,5,Male,Peru,1,1,6,7,3,3,651-4402975,12/07/2018
Aboulomri,brown,3,Female,UK,7,1,2,1,2,7,651-3625796,03/29/2021
Scratches,white,11,Male,Canada,3,1,5,7,5,7,651-1900633,08/24/2018
Zonker,white,4,Female,China,3,5,5,4,2,3,651-7574218,02/12/2019
Ovidius,brown,10,Male,Spain,3,2,5,6,2,6,651-5520876,02/17/2021
Delia,tabby,2,Female,Canada,5,4,5,5,2,6,651-8149009,06/10/2019
Hotdog,salt and pepper,8,Female,Spain,3,4,6,5,3,3,651-5049622,03/30/2015
Ludwig,white,15,Male,Peru,1,3,6,5,7,6,651-2695228,05/04/2020
Marzipan,striped,2,Female,Germany,2,1,7,7,1,4,651-1510207,01/24/2020
Janus,tabby,7,Female,Germany,4,1,2,7,3,5,651-6348637,10/22/2017
Peter,striped,2,Female,China,2,2,7,5,1,3,651-2330786,11/11/2020
Berenice,grey and black,5,Male,France,3,3,5,5,3,3,651-7873208,01/25/2021
Herbal,orange,18,Male,Germany,3,5,5,4,3,5,651-2698415,10/12/2013
Julep,grey and brown,20,Male,Australia,5,5,5,5,6,5,651-5851242,09/12/2019
Harry,grey and brown,9,Male,Spain,5,2,3,6,3,1,651-6248543,09/12/2015
Bete Noir,grey and brown,14,Female,China,6,2,6,6,1,7,651-8028980,03/22/2017
Beastie,peaches and cream,13,Male,Thailand,1,2,5,6,5,7,651-8286024,09/26/2015
Hayley,grey and brown,1,Female,USA,1,6,7,5,1,2,651-3718419,02/09/2021
Peace,salt and pepper,7,Female,USA,3,3,3,5,2,3,651-6225956,05/07/2018
Aboulomri,tabby,2,Unsure,France,6,5,3,5,4,7,651-2475114,03/14/2020
Fuzzinator,peaches and cream,5,Male,New Zealand,1,2,6,6,6,3,651-4805598,04/20/2016
Wuffy,striped,5,Male,New Zealand,6,4,5,5,5,7,651-4896316,10/22/2019
Mr. President,peaches and cream,3,Male,USA,4,1,5,6,7,5,651-2769319,02/17/2019
Desiree,black,9,Male,Thailand,1,1,7,7,4,5,651-5968256,08/19/2018
Club,peaches and cream,4,Male,Australia,3,2,5,5,3,7,651-8782575,09/09/2019
Zoloft,butterscotch,20,Female,UK,1,2,7,7,3,7,651-7615232,02/03/2013
Reagan,salt and pepper,14,Female,Canada,2,3,5,7,1,1,651-1933566,10/09/2011
Coquette,orange,12,Male,China,5,1,5,7,7,7,651-5658901,01/23/2013
Jaz,grey and brown,13,Female,Canada,3,3,5,6,2,4,651-4096348,08/29/2010
Triton,grey and brown,9,,China,3,3,3,6,2,4,651-6129527,10/08/2018
Virgil,grey,20,Male,France,2,2,6,7,2,2,651-7769011,05/13/2003
Dinky,salt and pepper,4,Male,Peru,1,1,7,7,4,5,651-2816505,01/06/2021
Cat Sajak,white,2,Male,Thailand,2,6,5,5,2,5,651-7132077,12/23/2020
Angostura,peaches and cream,5,Female,USA,6,1,3,7,5,4,651-5040063,04/21/2018
Crash,orange,6,Female,China,3,4,4,3,1,4,651-7150474,04/28/2015
Butterscotch,brown,6,Male,Thailand,1,1,7,7,1,2,651-4485720,09/05/2018
Piggy,grey,9,Female,Thailand,2,1,6,7,5,2,651-4740711,07/09/2012
Perfect,grey,4,Female,Germany,1,1,6,7,6,6,651-3545016,05/17/2020
Jacques Pierre,grey and brown,18,Female,Peru,2,2,6,6,5,7,651-7402810,01/27/2014
Angie,grey,16,Female,Canada,1,1,5,6,2,3,651-8789374,09/04/2012
Robert,grey and black,6,Male,UK,5,3,7,5,6,5,651-1665638,11/19/2015
Chip,salt and pepper,6,Male,Thailand,1,1,5,7,1,5,651-6405091,08/26/2019
Arrot,grey and black,6,Female,Peru,5,4,7,7,2,1,651-4462739,08/26/2016
Dusty,grey and black,6,Male,France,1,1,7,7,5,5,651-6623459,10/14/2019
Macduff,peaches and cream,4,Male,Thailand,1,1,7,7,5,5,651-8436648,01/09/2018
Camilla,brown,9,Female,UK,1,7,7,4,5,6,651-5094525,06/19/2020
Eartha,white,17,Female,New Zealand,4,1,3,5,1,1,651-8937943,08/14/2017
Snip,black,2,Female,France,2,4,5,4,3,5,651-4649946,01/09/2020
Amaro,tabby,10,Female,USA,4,3,4,5,2,3,651-2004859,04/14/2019
Harry,butterscotch,5,Male,Peru,2,3,7,6,1,7,651-5163590,01/18/2020
Gaia,tabby,4,Female,Australia,1,2,7,6,1,2,651-2553243,05/23/2020
Janis,butterscotch,20,Male,Australia,2,1,5,4,1,1,651-7627045,03/22/2016
Carly,striped,3,Male,Canada,2,6,6,5,1,5,651-1793204,04/14/2019
Jackson,striped,3,Female,Australia,1,1,7,6,3,3,651-8716308,09/05/2019
Snip,brown,7,Male,France,6,5,3,1,1,7,651-6532578,02/03/2020
Beastie,peaches and cream,4,Male,USA,1,1,6,2,1,7,651-4022445,07/09/2018
Club,salt and pepper,11,Male,Spain,5,5,3,5,5,6,651-6272974,05/08/2014
Budweiser,white,8,Female,Thailand,1,3,7,5,1,2,651-8721776,08/04/2013
Brett,striped,2,Male,Canada,4,5,4,6,4,2,651-4080040,02/03/2020
Ears,striped,4,Female,Canada,2,7,6,2,2,4,651-5170362,03/29/2020
Zuleika,striped,5,Female,Canada,3,2,5,5,1,5,651-3878981,07/27/2020
Ali McClaw,grey,17,Female,UK,1,1,7,7,1,2,651-5293232,07/21/2004
Caboodle,grey and black,5,Male,USA,1,3,7,6,3,2,651-5784116,03/25/2021
Peregrin,white,19,Male,Canada,2,1,7,6,1,4,651-2823939,08/08/2005
Elvira,tabby,7,Male,Germany,3,3,5,6,7,4,651-7409064,01/11/2021
Tatum,grey,3,Female,Thailand,3,2,5,6,5,3,651-2697845,03/12/2021
Feline Dion,striped,1,Female,Spain,5,3,6,5,3,4,651-2282617,04/22/2020
Monarch,grey and black,16,Female,New Zealand,5,1,7,7,4,5,651-5538114,12/11/2015
Smidget,orange,18,Female,Peru,1,4,7,4,1,1,651-8679887,03/14/2006
Tiggy,striped,3,,UK,6,2,5,4,1,5,651-8748726,02/26/2020
Dale,tabby,7,Female,USA,1,1,6,7,3,6,651-7557413,01/06/2016
Angostura,peaches and cream,14,Female,Canada,1,6,6,5,6,1,651-8349471,09/01/2020
Gigabyte,brown,10,Male,Germany,6,1,5,5,1,2,651-6246692,06/05/2018
Tess,butterscotch,5,Female,Germany,6,1,6,7,1,6,651-7290963,04/23/2017
